Date,Price
7/31/2022,1252.74
8/7/2022,1262.33
8/14/2022,1269.18
8/21/2022,1282.57
8/28/2022,1280.51
9/4/2022,1248.78
9/11/2022,1234.03
9/18/2022,1203.28
9/25/2022,1132.11
10/2/2022,1035.91
10/9/2022,1061.85
10/16/2022,1019.82
10/23/2022,1027.36
10/30/2022,997.15
11/6/2022,954.53
11/13/2022,969.33
11/20/2022,971.46
11/27/2022,1080.01
12/4/2022,1051.81
12/11/2022,1052.48
12/18/2022,1020.34
12/25/2022,1007.09
1/1/2023,1051.44
1/8/2023,1060.17
1/15/2023,1108.08
1/22/2023,1117.1
1/29/2023,1077.15
2/5/2023,1055.3
2/12/2023,1059.31
2/19/2023,1039.56
2/26/2023,1024.77
3/5/2023,1053
3/12/2023,1045.14
3/19/2023,1046.79
3/26/2023,1064.64
4/2/2023,1069.71
4/9/2023,1052.89
4/16/2023,1042.91
4/23/2023,1049.12
4/30/2023,1040.31
5/7/2023,1066.9
5/14/2023,1067.07
5/21/2023,1063.76
5/28/2023,1090.84
6/4/2023,1107.53
6/11/2023,1115.22
6/18/2023,1129.38
6/25/2023,1120.18
7/2/2023,1138.07
7/9/2023,1168.4
7/16/2023,1185.9
7/23/2023,1207.67
7/30/2023,1217.2
